Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Li, Livie Yumeng; Isaksen, Anders Aasted; Lebiecka-Johansen, Benjamin; Funck, Kristian; Thambawita, Vajira; Byberg, Stine; Andersen, Tue Helms; Norgaard, Ole; Hulman, Adam; ",Prediction of cardiovascular markers and diseases using retinal fundus images and deep learning: a systematic scoping review,European Heart Journal-Digital Health,5,6,660-669,2024,Oxford University Press UK
"Ionescu, Bogdan; Müller, Henning; Drăgulinescu, Ana-Maria; Rückert, Johannes; Ben Abacha, Asma; García Seco de Herrera, Alba; Bloch, Louise; Brüngel, Raphael; Idrissi-Yaghir, Ahmad; Schäfer, Henning; ",Overview of the ImageCLEF 2024: Multimedia retrieval in medical applications,International Conference of the Cross-Language Evaluation Forum for European Languages,,,140-164,2024,Springer Nature Switzerland Cham
"Gautam, Sushant; Storås, Andrea M; Midoglu, Cise; Hicks, Steven A; Thambawita, Vajira; Halvorsen, Pål; Riegler, Michael A; ",Kvasir-vqa: A text-image pair gi tract dataset,Proceedings of the First International Workshop on Vision-Language Models for Biomedical Applications,,,3-12,2024,
"Jha, Debesh; Sharma, Vanshali; Banik, Debapriya; Bhattacharya, Debayan; Roy, Kaushiki; Hicks, Steven A; Tomar, Nikhil Kumar; Thambawita, Vajira; Krenzer, Adrian; Ji, Ge-Peng; ",Validating polyp and instrument segmentation methods in colonoscopy through Medico 2020 and MedAI 2021 Challenges,Medical image analysis,99,,103307,2025,Elsevier
"Alawad, Faiga; Herrmann, Peter; Thambawita, Vajira; ",Integrating Synthetic Data Modelling into an Adaptive Sampling Framework for IoT Devices,"2024 IEEE International Conferences on Internet of Things (iThings) and IEEE Green Computing & Communications (GreenCom) and IEEE Cyber, Physical & Social Computing (CPSCom) and IEEE Smart Data (SmartData) and IEEE Congress on Cybermatics",,,300-307,2024,IEEE
"Storås, Andrea Marheim; Mæland, Steffen; Isaksen, Jonas L; Hicks, Steven Alexander; Thambawita, Vajira; Graff, Claus; Hammer, Hugo Lewi; Halvorsen, Pål; Riegler, Michael Alexander; Kanters, Jørgen K; ",Evaluating gradient-based explanation methods for neural network ECG analysis using heatmaps,Journal of the American Medical Informatics Association,32,1,79-88,2025,Oxford Academic
"Salehi, Pegah; Sheshkal, Sajad Amouei; Thambawita, Vajira; Gautam, Sushant; Sabet, Saeed S; Johansen, Dag; Riegler, Michael A; Halvorsen, Pål; ",Comparative analysis of audio feature extraction for real-time talking portrait synthesis,Big Data and Cognitive Computing,9,3,59,2025,MDPI
"Presacan, Oriana; Dorobantiu, Alexandru; Thambawita, Vajira; Riegler, Michael A; Stensen, Mette H; Iliceto, Mario; Aldea, Alexandru C; Sharma, Akriti; ",Embryo 2.0: merging synthetic and real data for advanced AI predictions,arXiv e-prints,,,arXiv: 2412.01255,2024,
"Bentsen, Pål Andreas Hoven; Hicks, Steven; Jul, Eric; Halvorsen, Pål; Thambawita, Vajira; ",SAM in the Pipeline: Transforming Axis-Aligned to Oriented Bounding Boxes for Superior Sperm Detection,2024 International Conference on Content-Based Multimedia Indexing (CBMI),,,1-7,2024,IEEE
"Salehi, P; Hassan, SZ; Lammerse, M; Sabet, SS; Riiser, I; Røed, RK; Johnson, MS; Thambawita, V; Hicks, SA; Powell, M; ","Synthesizing a Talking Child Avatar to Train Interviewers Working with Maltreated Children. Big Data Cogn. Comput. 2022, 6, 62",,,,,2022,s Note: MDPI stays neutral with regard to jurisdictional claims in published …
"Thambawita, Vajira; ",DeepSynthBody: the beginning of the end for data deficiency in medicine (PhD Thesis),,,,,2021,SimulaMet/OsloMet
"Presacan, Oriana; Dorobanţiu, Alexandru; Thambawita, Vajira; Riegler, Michael A; Stensen, Mette H; Iliceto, Mario; Aldea, Alexandru C; Sharma, Akriti; ",Merging synthetic and real embryo data for advanced AI predictions,Scientific Reports,15,1,9805,2025,Nature Publishing Group UK London
"Kasineshan, Nishani; Subramanieam, Vithurshini; Yogeswaran, Thulasiyan; Liyanage, Sashini; Devindi, Isuri; Ragel, Roshan G; Thambawita, Vajira; Nawinne, Isuru; ",A Comparative Study on Generalized Automated Medical Image Segmentation for Dataset Building,2025 5th International Conference on Advanced Research in Computing (ICARC),,,1-6,2025,IEEE
"Chatterjee, Ayan; Thambawita, Vajira; Riegler, Michael A; Halvorsen, Pål; ",Supervised Anomaly Detection in Univariate Time-Series Using 1D Convolutional Siamese Networks,IEEE Access,,,,2025,IEEE
"Presacan, Oriana; Dorobanţiu, Alexandru; Isaksen, Jonas L; Willi, Tobias; Graff, Claus; Riegler, Michael A; Sridhar, Arun R; Kanters, Jørgen K; Thambawita, Vajira; ",Evaluating the feasibility of 12-lead electrocardiogram reconstruction from limited leads using deep learning,Communications medicine,5,1,139,2025,Nature Publishing Group UK London
"Ionescu, Bogdan; Müller, Henning; Stanciu, Dan-Cristian; Idrissi-Yaghir, Ahmad; Radzhabov, Ahmedkhan; de Herrera, Alba García Seco; Andrei, Alexandra; Storås, Andrea; Abacha, Asma Ben; Bracke, Benjamin; ","ImageCLEF 2025: multimedia retrieval in medical, social media and content recommendation applications",European Conference on Information Retrieval,,,398-406,2025,Springer Nature Switzerland Cham
"Monopoli, Giulia; Haas, Daniel; Singh, Ashay; Aabel, Eivind Westrum; Ribe, Margareth; Castrini, Anna Isotta; Hasselberg, Nina Eide; Bugge, Cecilie; Five, Christian; Haugaa, Kristina; ",DeepValve: The first automatic detection pipeline for the mitral valve in Cardiac Magnetic Resonance imaging,Computers in Biology and Medicine,192,,110211,2025,Pergamon
"Gautam, Sushant; Midoglu, Cise; Thambawita, Vajira; Riegler, Michael A; Halvorsen, Pål; Shah, Mubarak; ",SoccerChat: Integrating Multimodal Data for Enhanced Soccer Game Understanding,arXiv preprint arXiv:2505.16630,,,,2025,
"Salehi, Pegah; Sheshkal, Sajad Amouei; Thambawita, Vajira; Halvorsen, Pål; ",From Flat to Feeling: A Feasibility and Impact Study on Dynamic Facial Emotions in AI-Generated Avatars,arXiv preprint arXiv:2506.13477,,,,2025,
"Wimalasiri, Chathura; Rathnayake, Piumal; Wijerathne, Shamod; Rasnayaka, Sumudu; Bandara, Dhanushka Leuke; Ragel, Roshan; Thambawita, Vajira; Nawinne, Isuru; ",AI-assisted radiographic analysis in detecting alveolar bone-loss severity and patterns,arXiv preprint arXiv:2506.20522,,,,2025,
"Riegler, Michael A; Hellton, Kristoffer Herland; Thambawita, Vajira; Hammer, Hugo L; ",Using Large Language Models to Suggest Informative Prior Distributions in Bayesian Statistics,arXiv preprint arXiv:2506.21964,,,,2025,
"Yim, Wen-Wai; Abacha, Asma Ben; Snider, Neal; Adams, Griffin; Yetisgen, Meliha; Rückert, Johannes; de Herrera, Alba Garcıa Seco; Friedrich, Christoph M; Bloch, Louise; Brüngel, Raphael; ","Overview of the ImageCLEF 2023: Multimedia Retrieval in Medical, Social Media and Internet Applications","Experimental IR Meets Multilinguality, Multimodality, and Interaction",,,370,,
"Thambawita, V; Strümke, I; Hicks, SA; Halvorsen, P; Parasa, S; Riegler, MA; ",Impact of image resolution on deep learning performance in endoscopy image classification: an experimental study using a large dataset of endoscopic images. Diagnostics. 2021; 11 (12): 2183,,,,,2021,s Note: MDPI stays neutral with regard to jurisdictional claims in published …
"Hammer, Hugo L; Thambawita, Vajira; Riegler, Michael A; ",Foundation models: the next level of AI in ART,Human Reproduction,40,9,1595-1604,2025,Oxford University Press
"Isaksen, Jonas L; Thambawita, Vajira; Nørregaard, Malene; Ellervik, Christina; Hansen, Torben; Linneberg, Allan; Linz, Dominik; Graff, Claus; Riegler, Michael A; Kanters, Jørgen K; ",Personalized Synthetic Electrocardiograms with Outcomes,medRxiv,,,2025.08. 01.25332716,2025,Cold Spring Harbor Laboratory Press
"Gautam, Sushant; Thambawita, Vajira; Riegler, Michael; Halvorsen, Pål; Hicks, Steven; ",Medico 2025: Visual Question Answering for Gastrointestinal Imaging,arXiv preprint arXiv:2508.10869,,,,2025,
"Jayasundara, Ridma; Fernando, Ishan; Fernando, Adeepa; Ragel, Roshan; Thambawita, Vajira; Nawinne, Isuru; ",Inductive transfer learning from regression to classification in ECG analysis,arXiv preprint arXiv:2508.11656,,,,2025,
"Presacan, Oriana; Nik, Alireza; Thambawita, Vajira; Ionescu, Bogdan; Riegler, Michael; ",A Comparative Study of Decoding Strategies in Medical Text Generation,arXiv preprint arXiv:2508.13580,,,,2025,
"Jayakody, JMIH; Alahakoon, AMHH; Perera, CRM; Srimal, RMLC; Ragel, Roshan; Thambawita, Vajira; Nawinne, Isuru; ",AICRN: Attention-Integrated Convolutional Residual Network for Interpretable Electrocardiogram Analysis,arXiv e-prints,,,arXiv: 2508.12162,2025,
"Isaksen, Jonas L; Nørregaard, Malene; Manninger, Martin; Dobrev, Dobromir; Jespersen, Thomas; Hermans, Ben; Heijman, Jordi; Plank, Gernot; Scherr, Daniel; Pock, Thomas; ",Evaluating artificial intelligence-enabled medical tests in cardiology: Best practice,IJC Heart & Vasculature,60,,101783,2025,Elsevier
"Ionescu, Bogdan; Müller, Henning; Stanciu, Dan-Cristian; Andrei, Alexandra-Georgiana; Radzhabov, Ahmedkhan; Prokopchuk, Yuri; Ştefan, Liviu-Daniel; Constantin, Mihai Gabriel; Dogariu, Mihai; Kovalev, Vassili; ","Overview of imageclef 2025: Multimedia retrieval in medical, social media and content recommendation applications",International Conference of the Cross-Language Evaluation Forum for European Languages,,,290-314,2025,Springer Nature Switzerland Cham
"Zhang, Hanzhi; Margalef, Xavier V; Cappozzo, Vittoria; Isaksen, Jonas; Nørregaard, Malene; Graff, Claus; Hicks, Steven A; Thambawita, Vajira; Linz, Dominik; Riegler, Michael A; ",Masking Convoluted Neural Networks improve P-wave analysis,Journal of Electrocardiology,91,,153996,2025,Churchill Livingstone
"Toh, Zheng An; Thambawita, Vajira; Grotle, Margreth; He, Hong-Gu; Pikkarainen, Minna; Hey, Hwee Weng Dennis; Solberg, Tore; Ingebrigtsen, Tor; Berg, Bjørnar; ",Development of machine learning models for predicting patient-perceived benefit following lumbar disc herniation or spinal stenosis surgery,European Spine Journal,,,1-15,2025,Springer Berlin Heidelberg
"Kanters, Jørgen K; Isaksen, Jonas; Nørregaard, Malene; Graff, Claus; Hicks, Steven A; Thambawita, Vajira; Riegler, Michael A; ","Explainable AI (XAI) in ECG analysis: Transparency, interpretation and explanation",Journal of Electrocardiology,91,,153943,2025,Churchill Livingstone
"Regginou, Nika; Isaksen, Jonas; Nørregaard, Malene; Graff, Claus; Hicks, Steven A; Thambawita, Vajira; Linz, Dominik; Riegler, Michael A; Kanters, Jørgen K; ",Population averaging of machine learning attention maps from electrocardiograms,Journal of Electrocardiology,91,,153963,2025,Churchill Livingstone
"Fraire-Zamora, Juan J; Ali, Zoya Enakshi; Makieva, Sofia; Massarotti, Claudia; Kohlhepp, Florian; Liperis, George; Perugini, Michelle; Thambawita, Vajira; Mincheva, Mina; ",counselling with machine learning models,,,,,2022,
"Gautam, Sushant; Thambawita, Vajira; Riegler, Michael; Halvorsen, Pål; Hicks, Steven; ",Overview of ImageCLEFmedical 2025–Visual Question Answering and Synthetic Image Generation for Gastrointestinal Tract,,,,,2025,
"Riegler, Michael A; Hellton, Kristoffer H; Thambawita, Vajira; Hammer, Hugo L; ",Using large language models to suggest informative prior distributions in Bayesian regression analysis,Scientific Reports,15,1,33386,2025,Nature Publishing Group UK London
"Rasnayaka, Sumudu; Leuke Bandara, Dhanushka; Jayasundara, Amali; Jayasinghe, Ruwan; Wimalasiri, Chathura; Rathnayake, Piumal; Wijerathne, Shamod; Ragel, Roshan; Thambawita, Vajira; Nawinne, Isuru; ",DenPAR: Annotated Intra-Oral Periapical Radiographs Dataset for Machine Learning,Scientific Data,12,1,1615,2025,Nature Publishing Group UK London
"Sarkhoosh, Mehdi Houshmand; Gautam, Sushant; Midoglu, Cise; Nguyen, Thu; Held, Jan; Cioppa, Anthony; Giancola, Silvio; Thambawita, Vajira; Riegler, Michael A; Halvorsen, Pal; ",Beyond Audio: Enhancing SoccerNet-Echoes with Multimodal Event Extraction Using LLMs,International Journal of Semantic Computing,,,,2025,World Scientific Publishing Company
"Hammer, Hugo L; Thambawita, Vajira; Riegler, Michael A; ",Reply: Foundation models in IVF: from speculation to implementation with FEMI,Human Reproduction,,,deaf227,2025,Oxford University Press
